"Male","Female","score","url"
"2006","1953","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1953.html"
"2006","1952","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1952.html"
"2006","1951","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1951.html"
"2005","2007","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-2007.html"
"2005","2006","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-2006.html"
"2005","2005","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-2005.html"
"2005","2004","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-2004.html"
"2005","2003","9","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-2003.html"
"2005","2002","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-2002.html"
"2005","2001","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-2001.html"
"2005","2000","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-2000.html"
"2005","1999","0","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1999.html"
"2005","1998","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1998.html"
"2005","1997","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1997.html"
"2005","1996","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1996.html"
"2005","1995","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1995.html"
"2005","1994","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1994.html"
"2005","1993","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1993.html"
"2005","1992","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1992.html"
"2005","1991","1","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1991.html"
"2005","1990","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1990.html"
"2005","1989","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1989.html"
"2005","1988","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1988.html"
"2005","1987","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1987.html"
"2005","1986","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1986.html"
"2005","1985","9","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1985.html"
"2005","1984","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1984.html"
"2005","1983","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1983.html"
"2005","1982","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1982.html"
"2005","1981","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1981.html"
