ID,height
791,16.8
9446,160.0
8907,155.0
115173,16.1
102182,150.0
107850,183.0
7769,160.0
131583,175.0
111093,160.0
8092,
123133,162.0
115990,161.0
102739,168.0
121939,168.0
121916,167.0
7173,168.0
45978,163.0
9465,165.0
52179,182.0
66490,180.0
3284,165.0
124800,159.0
63553,163.0
67101,168.0
66012,168.0
67096,159.0
7843,150.0
102138,165.0
54074,16.1
103655,158.0
59262,16.299999999999997
63817,166.0
100369,168.0
126028,170.0
75219,17.65
103701,163.0
119967,160.0
94021,158.0
54042,172.0
122947,169.0
100730,157.0
120133,173.0
4996,163.0
8047,168.0
110344,165.0
118969,162.0
107239,
124288,165.0
101083,167.0
5073,160.0
43499,165.0
131582,170.0
76995,164.0
122131,160.0
1398,159.0
115352,162.0
81212,167.0
1365,168.0
121819,165.0
107011,170.0
108450,160.0
51716,166.0
8340,165.0
67629,17.2
4681,170.0
102352,178.0
67328,170.0
60734,175.0
66071,16.599999999999998
65926,159.0
2538,180.0
67443,175.0
55307,16.7
101562,168.0
67373,178.0
59380,156.0
36431,160.0
4809,150.0
25939,15.9
9301,171.0
3362,174.0
58971,170.0
123331,160.0
7405,166.0
104013,167.0
104535,180.0
9162,170.0
101900,168.0
2411,158.0
92609,150.0
1449,152.0
98745,170.0
124544,170.0
4908,170.0
131295,159.0
49837,148.0
24477,157.0
128860,173.0
106375,150.0
121984,156.0
92212,168.0
105088,172.0
129191,161.0
102751,165.0
8497,160.0
104846,165.0
104217,169.0
98697,150.0
124,155.0
119772,172.0
76543,168.0
102586,168.0
37144,152.0
122990,176.0
60279,167.0
129992,166.0
123267,155.0
100364,170.0
126667,155.0
107097,150.0
108217,165.0
121920,167.0
108938,16.299999999999997
3512,168.0
113121,165.0
130435,165.0
101580,175.0
104314,165.0
132984,160.0
51902,162.0
74297,153.0
66076,170.0
115736,165.0
123695,168.0
125824,158.0
112264,165.0
67767,160.0
118310,169.0
110690,17.0
109548,173.0
126605,170.0
114828,167.0
113089,177.0
118367,165.0
120157,163.0
9772,165.0
115830,169.0
1374,156.0
126911,155.0
126604,165.0
7339,170.0
111168,150.0
131739,156.0
125608,160.0
104816,175.0
120491,175.0
108194,170.0
108145,170.0
108225,170.0
113588,165.0
131804,165.0
131562,162.0
66654,152.0
52371,150.0
38338,150.0
52184,150.0
53907,169.0
105918,16.0
102475,153.0
105233,165.0
107151,165.0
129344,170.0
9429,164.0
61231,160.0
104045,16.5
102856,171.0
131580,167.0
106314,163.0
100397,160.0
5640,155.0
113769,165.0
129333,170.0
131599,161.0
131600,165.0
131656,154.0
131516,155.0
106205,
67685,165.0
67670,160.0
55180,162.0
5081,172.0
102424,176.0
131493,172.0
131683,163.0
131578,177.0
119775,158.0
100117,173.0
99221,165.0
93604,167.0
66642,170.0
5198,152.0
105090,169.0
103200,174.0
66088,170.0
2775,173.0
65929,175.0
99850,176.0
3729,167.0
92828,17.0
5287,165.0
108148,165.0
126606,158.0
115563,170.0
105029,174.0
103136,165.0
120384,153.0
130428,169.0
131428,159.0
66240,175.0
67688,170.0
66876,171.0
113138,165.0
108775,165.0
79137,170.0
99643,170.0
99319,171.0
112883,170.0
103890,160.0
57100,158.0
5358,167.0
107129,170.0
111681,165.0
99618,175.0
67406,160.0
121052,165.0
102476,170.0
109221,150.0
55614,165.0
101972,
123608,165.0
8204,16.8
9393,162.0
65618,165.0
112650,178.0
101455,172.0
123072,170.0
114535,165.0
67728,178.0
109882,146.0
67786,158.0
108044,16.7
120047,160.0
114539,160.0
111233,168.0
72833,172.0
112205,166.0
104085,165.0
53965,164.0
101003,169.0
126422,163.0
3837,155.0
53881,157.0
93018,155.0
112825,155.0
122336,168.0
106878,176.0
102426,155.0
112229,170.0
58324,152.0
113438,162.0
64467,160.0
65855,160.0
66289,176.0
67491,152.0
113756,155.0
98723,165.0
122468,166.0
122567,170.0
