id,education
111808,Dưới đại học
66614,Dưới đại học
48356,Đại học
102375,Đại học
129628,Dưới đại học
107376,Đại học
9328,
104316,Đại học
106041,Đại học
116993,Đại học
66133,Đại học
2540,Dưới đại học
101533,Đại học
1062,Đại học
127999,Đại học
102406,Đại học
128792,Đại học
66640,Đại học
106309,Dưới đại học
109529,Đại học
62858,Dưới đại học
80608,Trên đại học
8087,Đại học
131763,
131592,
106485,Dưới đại học
109805,Dưới đại học
122198,Đại học
4893,Đại học
118628,Đại học
126414,Đại học
48460,Đại học
131903,Đại học
118826,Đại học
109229,Đại học
112017,Đại học
129605,Dưới đại học
1560,Đại học
65157,Đại học
9064,Đại học
119020,Dưới đại học
103369,Trên đại học
100747,Đại học
124560,Đại học
129036,Đại học
107760,Đại học
67411,Dưới đại học
67367,Dưới đại học
107747,Đại học
103324,Dưới đại học
128632,Đại học
124873,Dưới đại học
67753,Trên đại học
104392,Đại học
128161,Dưới đại học
99464,Đại học
9093,
8508,Đại học
92925,Đại học
99268,Dưới đại học
131579,Dưới đại học
129092,Đại học
54328,Đại học
132933,Đại học
82297,Đại học
107711,Đại học
114049,
44788,Dưới đại học
4815,Đại học
54181,Đại học
107111,Đại học
131385,Đại học
98713,Đại học
128932,Trên đại học
102889,Đại học
109214,Dưới đại học
117164,Trên đại học
9005,Dưới đại học
102461,Đại học
117690,Trên đại học
67631,Đại học
112435,Đại học
124905,Đại học
117941,Đại học
106864,
129615,Đại học
124872,Đại học
93487,Đại học
107619,Dưới đại học
119303,Đại học
49559,Đại học
121364,Dưới đại học
111238,Dưới đại học
131664,Dưới đại học
76859,Đại học
103814,Đại học
3069,Đại học
102927,Dưới đại học
5177,Đại học
7096,Đại học
117792,Đại học
106560,Đại học
67090,Đại học
130461,Trên đại học
13795,Đại học
4336,Trên đại học
125730,Đại học
122128,Dưới đại học
129180,Đại học
113617,Đại học
113206,Đại học
9296,Trên đại học
67756,Dưới đại học
98594,Đại học
52781,Đại học
65793,Đại học
54269,Đại học
98679,Dưới đại học
102591,Đại học
82013,Dưới đại học
116802,Đại học
8933,Đại học
53865,Đại học
66095,Dưới đại học
120881,
67464,Đại học
117544,Đại học
116213,Đại học
7833,Trên đại học
6088,Đại học
