ID,income
79934,20000000
5454,10000000
98853,7000000
4835,7000000
52229,10000000
9412,9000000
115581,10000000
55209,9000000
2960,
114296,10000000
121324,7000000
59173,
103849,18000000
3840,5000000
67205,4000000
2701,10000000
791,12000000
9446,10000000
8907,12000000
115173,
102182,8000000
107850,5000000
7769,500000
131583,10000000
111093,13000000
8092,12000000
123133,30000000
115990,8000000
102739,15000000
121939,
121916,10000000
7173,
45978,
9465,10000000
52179,8000000
66490,12000000
3284,6000000
124800,8000000
63553,15000000
67101,6000000
66012,8000000
67096,15000000
7843,9000000
102138,10000000
54074,5000000
103655,20000000
59262,4000000
63817,
100369,12000000
126028,50000000
75219,
103701,13000000
119967,7000000
94021,8000000
54042,20000000
122947,20000000
100730,18000000
120133,
4996,5000000
8047,7000000
110344,15000000
118969,30000000
107239,50000000
124288,30000000
101083,73000000
5073,25000000
43499,6000000
131582,6000000
76995,7000000
122131,8000000
1398,10000000
115352,17000000
81212,5000000
1365,5000000
121819,20000000
107011,7000000
108450,9000000
51716,6000000
8340,7000000
67629,0
4681,
102352,100000000
67328,10000000
60734,15000000
66071,4000000
65926,8000000
2538,
67443,15000000
55307,10000000
101562,12000000
67373,10000000
59380,3000000
36431,7000000
4809,4000000
25939,12000000
9301,20000000
3362,
58971,5000000
123331,20000000
7405,
104013,
104535,
9162,
101900,15000000
2411,
92609,6000000
1449,7000000
98745,10000000
124544,40000000
4908,
131295,8000000
49837,700000
24477,4000000
128860,7000000
106375,5000000
121984,12000000
92212,5000000
105088,
129191,
102751,15000000
8497,15000000
104846,9000000
104217,10000000
98697,1000000
124,2000000
119772,7000000
76543,5000000
102586,8000000
37144,8000000
122990,50000000
60279,10000000
129992,
123267,30000000
100364,7000000
126667,25000000
107097,7000
108217,8000000
121920,
108938,30000000
3512,20000000
113121,8000000
130435,30000000
101580,15000000
104314,10000000
132984,
51902,10000000
74297,
66076,7000000
115736,10000000
123695,30000000
125824,
112264,5000000
67767,4000000
118310,15000000
110690,
109548,30000000
126605,5000000
114828,40000000
113089,10000000
118367,
120157,7000000
9772,22000000
115830,10000000
1374,12000000
126911,
126604,
7339,15000000
111168,7000000
131739,
125608,70000000
104816,100000000
120491,
108194,7000000
108145,13000000
108225,10000000
113588,20000000
131804,25000000
131562,15000000
66654,520000
52371,
38338,3000000
52184,7000000
53907,12000000
105918,20000000
102475,10000000
105233,
107151,15000000
129344,4000000
9429,
61231,130000000
104045,6000000
102856,6500000
131580,12000000
106314,
100397,5000000
5640,8000000
113769,12000000
129333,40000000
131599,
131600,15000000
131656,50000000
131516,8000000
106205,8000000
67685,10000000
67670,6000000
55180,
5081,500000
102424,10000000
131493,
131683,
131578,
119775,8000000
100117,10000000
99221,5000000
93604,8000000
66642,5000000
5198,50000000
105090,
103200,8000000
66088,8000000
2775,10000000
65929,4000000
99850,
3729,
92828,5000000
5287,10000000
108148,5000000
126606,7000000
115563,8000000
105029,6000000
103136,8000000
120384,30000000
130428,15000000
131428,10000000
66240,40000000
67688,
66876,
113138,10000000
108775,5000000
79137,10000000
99643,5000000
99319,
112883,20000000
103890,30000000
57100,
5358,7000000
107129,8000000
111681,8000000
99618,10000000
67406,20000000
121052,15000000
102476,10000000
109221,7000000
55614,6000000
101972,15000000
123608,10000000
8204,
9393,15000000
65618,5000000
112650,6000000
101455,
123072,200000000
114535,50000000
67728,
109882,5000000
67786,40000000
108044,7000000
120047,10000000
114539,25000000
111233,10000000
72833,6000000
112205,
104085,10000000
53965,8000000
101003,5000000
126422,20
3837,10000000
53881,10000000
93018,10000000
112825,30000000
122336,10000000
106878,10000000
102426,10000000
112229,10000000
58324,10000000
113438,15000000
64467,10000000
65855,8000000
66289,
67491,500000
113756,
98723,5000000
122468,10000000
122567,8000000
112159,4000000
99506,14000000
130740,
124743,4000000
114769,
67446,15000000
121181,17000000
66477,15000000
9767,
66299,6000000
66593,
109609,16000000
129994,30000000
9109,10000000
872,10000000
108350,
112307,20000000
53671,25000000
102175,500000
5873,
54600,10000000
102183,
40937,5000000
100362,20000000
9496,6000000
102627,
79652,
103972,10000000
79891,5000000
99948,14000000
37339,10000000
126887,
2660,10000000
107110,15000000
53612,6000000
98824,10000000
93450,5000000
6773,7000000
112227,22000000
122798,15000000
103514,
67589,30000000
110086,
109962,12000000
108767,4000000
107614,7500000
73535,15000000
94011,
83514,
66848,5000000
113250,50000000
113082,10000000
55275,3000000
112367,10000000
111646,
55368,
63655,15000000
105803,7000000
104555,
104608,6400000
98634,10000000
67138,10000000
104955,20000000
114085,10000000
62721,15000000
755,5000000
46861,30000000
67158,15000000
2751,11000000
113290,5000000
108564,15000000
129968,35000000
105283,
113887,7000000
66427,4000000
1349,40000000
102850,2000000
9169,25000000
67169,500000
130601,6000000
105877,15000000
920,5000000
126638,12000000
55896,
67752,30000000
106528,17000000
117716,15000000
103415,7000000
103651,70000000
101730,
99656,20000000
106564,10000000
101077,10000000
98950,15000000
106176,32000000
5258,15000000
51450,10000000
4582,50000000
113939,9000000
112662,10000000
112485,5000000
122272,20000000
66254,12000000
94012,20000000
6557,6000000
111485,30000000
100047,10000000
115751,
104673,30000000
99011,40000000
105067,15000000
103922,
9606,
109190,
117654,
25186,5000000
7569,8000000
102640,20000000
67047,15000000
125648,15000000
715,5000000
56627,10000000
104930,20000000
1766,
99392,12000000
9604,5000000
53712,10000000
8100,10000000
101808,
67650,20000000
115858,10000000
1865,10000000
3768,6000000
52504,10000000
115379,9000000
67439,7000000
7822,12000000
74517,25000000
46387,10000000
7499,15000000
117044,3000000
114760,
113187,
103028,
4947,80000000
7592,8000000
7255,
7839,10000000
65425,9000000
73209,25000000
6750,15000000
8519,
99612,25000000
103940,20000000
66770,20000000
5415,12000000
7791,10000000
57306,6000000
55763,20000000
64407,5000000
53667,9000000
130278,30000000
8573,25000000
9189,8000000
5106,6000000
9225,500000
108605,16000000
111376,10000000
67403,5000000
122180,300000000
99541,10000000
104185,12000000
100504,8000000
4696,15000000
106283,80000000
104420,10000000
7555,9000000
61070,8000000
64030,12000000
7747,500000
99352,14000000
41065,12000000
59391,10000000
82822,10000000
55313,15000000
111700,
94005,
7949,
67346,5000000
53089,10000000
101304,10000000
30203,6000000
101629,100000000
106974,8000000
67361,50000000
105261,10000000
53453,15000000
102598,8000000
101896,50000000
30025,7000000
6427,4000000
99540,10000000
99133,
913,6000000
4952,7000000
35725,5000000
101647,500000000
103184,7000000
111660,45000000
94010,6000000
108249,25000000
1656,20000000
67689,
66250,25000000
67480,20000000
103169,10000000
75215,6000000
65198,7000000
53536,
98591,10000000
78661,3000000
113183,
83429,8000000
67179,20000000
112882,15000000
102630,7000000
121594,8000000
110888,500000
67027,20000000
99581,18000000
60499,23000000
105983,8000000
1294,9000000
98852,12000000
60520,
103244,10000000
103260,
66759,6000000
64588,15
108803,6000000
1403,18000000
67388,13000000
9353,4000000
47228,5000000
108602,
3482,15000000
66763,6000000
101248,10000000
7094,4000000
112134,
98876,7000000
98877,15000000
5516,15000000
92701,200000
67394,20000000
59862,15000000
102079,
99672,6000000
103906,5000000
113765,14000000
66038,
7640,100000000
93582,25000000
67087,10000000
101357,20000000
61701,8000000
75499,10000000
66847,
960,11000000
67498,8000000
110599,20000000
92427,6000000
50601,10000000
4992,8000000
66444,
9647,20000000
104685,
114748,
100298,500000
63626,
111870,9000000
49562,
103077,10000000
74112,10000000
105480,40000000
113747,
54108,25000000
115905,18000000
52792,8000000
82294,12000000
67350,3000000
120540,20000000
67171,5000000
1000,
129688,100000000
65147,
2578,15000000
80249,
112243,
99711,15000000
66026,10000000
29782,10000000
67776,5000000
9451,
113711,
52231,15000000
98344,20000000
59121,
47302,15000000
65962,
120081,
52748,10000000
9389,10000000
66677,
98733,
7160,30000000
3289,5000000
74337,30000000
4411,5100000
108267,
66203,5000000
102705,
91819,7000000
58948,
66233,5000000
9014,10000000
